observation_id,date,year,latitude,longitude,accuracy_m,reliability,record_type,source_collection,province,grid_id
http://tun.fi/HR.3211/237062741-U,2024-08-21,2024,60.50458,22.45018,49.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6710000-E250000
http://tun.fi/HR.3211/237073788-U,2024-08-21,2024,60.9239,21.49672,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6760000-E200000
http://tun.fi/HR.3211/237082219-U,2024-08-21,2024,60.8468,23.04813,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Satakunta (St),ETRS-TM35FIN-10km-N6750000-E280000
http://tun.fi/HR.3211/237082768-U,2024-08-21,2024,60.84714,23.04867,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Satakunta (St),ETRS-TM35FIN-10km-N6750000-E280000
http://tun.fi/HR.3211/237105471-U,2024-08-21,2024,60.19338,24.59235,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E360000
http://tun.fi/HR.3211/237116285-U,2024-08-21,2024,60.4802,25.10961,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6700000-E390000
http://tun.fi/JX.1760977#3,2024-08-21 [15:24-17:10],2024,60.210377,25.024037,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E390000
http://tun.fi/HR.3211/237309031-U,2024-08-22,2024,60.47623,22.38715,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6710000-E240000
http://tun.fi/JX.1761453#2259,2024-08-24,2024,61.125392,28.676253,1.0,NEUTRAL,"Handled (catched, not preserved)","Notebook, general observations",Etelä-Savo (ES),ETRS-TM35FIN-10km-N6770000-E590000
http://tun.fi/JX.1761869#18,2024-08-24 [15:25-19:07],2024,60.264332,22.795615,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6680000-E260000
http://tun.fi/JX.1762059#42,2024-08-25 [10:23-11:39],2024,62.480789,21.636938,1.0,NEUTRAL,Observation,The Atlas of Finnish Fungi,Etelä-Pohjanmaa (EP),ETRS-TM35FIN-10km-N6930000-E220000
http://tun.fi/JX.1762524#107,2024-08-26,2024,60.597005,24.787715,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6710000-E370000
http://tun.fi/HR.3211/238596008-U,2024-08-29,2024,60.29721,24.61706,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E360000
http://tun.fi/HR.3211/239562702-U,2024-09-01,2024,61.45389,27.40605,21.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6810000-E520000
http://tun.fi/HR.3211/239362161-U,2024-09-02,2024,65.91053,24.75498,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7310000-E390000
http://tun.fi/HR.3211/239405304-U,2024-09-02,2024,62.65285,29.22233,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6940000-E610000
http://tun.fi/HR.3211/254538263-U,2024-09-02,2024,65.01697,25.51254,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7210000-E420000
http://tun.fi/HR.3211/239788381-U,2024-09-04,2024,65.06092,25.46968,30.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7210000-E420000
http://tun.fi/HR.3211/239803759-U,2024-09-04,2024,65.06199,25.46499,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7210000-E420000
http://tun.fi/JX.1764949#52,2024-09-04,2024,61.809893,29.305127,1.0,NEUTRAL,Preserved specimen,The Atlas of Finnish Fungi,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6850000-E620000
http://tun.fi/HR.3211/239931853-U,2024-09-05,2024,63.17786,27.62817,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7000000-E530000
http://tun.fi/HR.3211/239967670-U,2024-09-05,2024,65.0564,25.47902,24.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7210000-E420000
http://tun.fi/HR.3211/240908289-U,2024-09-05,2024,63.21027,27.51903,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7000000-E520000
http://tun.fi/JX.1765521#3,2024-09-05,2024,66.48091,25.36307,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7370000-E420000
http://tun.fi/JX.1765454#3,2024-09-05 [17:59-19:59],2024,61.799596,29.332177,1.0,NEUTRAL,Observation,The Atlas of Finnish Fungi,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6850000-E620000
http://tun.fi/HR.3211/240128728-U,2024-09-06,2024,60.13413,24.3407,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6660000-E350000
http://tun.fi/HR.3211/240282144-U,2024-09-07,2024,66.49869,25.74422,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7370000-E440000
http://tun.fi/HR.3211/240290178-U,2024-09-07,2024,60.08054,24.2953,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6660000-E340000
http://tun.fi/HR.3211/240324737-U,2024-09-07,2024,66.13444,25.01337,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7330000-E410000
http://tun.fi/HR.3211/240504855-U,2024-09-08,2024,64.83328,25.68814,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7190000-E430000
http://tun.fi/HR.3211/257131270-U,2024-09-08,2024,66.49899,25.72099,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Perä-Pohjanmaa (PeP),ETRS-TM35FIN-10km-N7370000-E440000
http://tun.fi/JX.1768298#3,2024-09-08,2024,62.091103,29.874395,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Pohjois-Karjala (PK),ETRS-TM35FIN-10km-N6880000-E650000
