gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3441209936,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1035797#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Karjasilta,Pohjois-Pohjanmaa,PRESENT,3,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,65.000138,25.498815,1.0,,,,,,2019-09-06T00:00Z,6,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1035797,,,,CC_BY_4_0,,Esa Borén,,,2026-09-09T03:54:57.273Z,StillImage,
3441210626,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1036069#37,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Parkumäki,Pirkanmaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,61.64787,23.170945,1000.0,,,,,,2019-09-06T00:00Z,6,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1036069,,,,CC_BY_4_0,,Anne Hirvonen,,,2026-09-09T03:54:57.199Z,StillImage,
3441127983,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1037030#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Vattaja,Keski-Pohjanmaa,PRESENT,10,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,64.026345,23.394466,100.0,,,,,,2019-09-09T07:30Z/2019-09-09T09:30Z,9,9,2019,MCH9,MCH9,HUMAN_OBSERVATION,,HR.2129,http://tun.fi/JX.1037030,,,,CC_BY_4_0,,Arja Nissilä,,,2026-09-09T03:54:16.757Z,,
3441166677,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1047083#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Lohva,Pohjois-Pohjanmaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,63.77873,26.06583,1.0,,,,,,2019-09-10T00:00Z,10,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1047083,,,,CC_BY_4_0,,Seppo Huhmarniemi,,,2026-09-09T03:54:37.876Z,StillImage;StillImage,
3441140022,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1056939#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Niesijärvi,Lappi,PRESENT,2,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,66.323086,26.294443,1.0,,,,,,2019-09-14T00:00Z,14,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1056939,,,,CC_BY_4_0,,Anu Rautanen,,,2026-09-09T03:54:30.013Z,StillImage,
3441212899,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1037970#25,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Karhunahas,Keski-Suomi,PRESENT,10,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,62.420229,25.081331,1000.0,,,,,,2019-09-14T00:00Z,14,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1037970,,,,CC_BY_4_0,,Kaisa Tervonen,,,2026-09-09T03:54:58.604Z,StillImage;StillImage,
6115766405,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.2388923#32,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Neulaniemi,Pohjois-Savo,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,62.904,27.602,1.0,,,,,,2019-09-14T00:00Z,14,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.2388923,,,,CC_BY_4_0,,Anne-Mari Enne;Piia Lamminsivu,,,2026-09-09T03:56:04.566Z,,
3441180567,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1037780#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Pullinpuoli,Lappi,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,66.497343,25.750578,1000.0,,,,,,2019-09-15T00:00Z,15,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1037780,,,,CC_BY_4_0,,Seija Korpinen,,,2026-09-09T03:54:46.800Z,StillImage,
3441144879,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1038357#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,"Loimaa, Metsämaa",Varsinais-Suomi,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.908973,23.144672,1.0,,,,,,2019-09-17T00:00Z,17,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1038357,,,,CC_BY_4_0,,Tuuli Laine,,,2026-09-09T03:54:26.948Z,StillImage;StillImage,
3441152908,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1197026#7,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Sipoo,Uusimaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.281734,25.165658,1000.0,,,,,,2019-09-19T00:00Z,19,9,2019,MCH9,MCH9,HUMAN_OBSERVATION,,HR.2129,http://tun.fi/JX.1197026,,,,CC_BY_4_0,,Visa Lipponen,,,2026-09-09T03:54:31.248Z,,
