sample_group	scientific_name	event_datetime	latitude_wgs84	longitude_wgs84	etrs_tm35fin_easting_m	etrs_tm35fin_northing_m	coordinate_accuracy_m
boletus_edulis	Boletus edulis	2023-08-25/2023-08-25	60.17914	24.69915	372375.709	6673585.535	100
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	61.65226	26.06942	450705.316	6835794.873	10
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	60.18397	24.73014	374112.707	6674063.742	100
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	60.5484	21.49251	198143.932	6725135.226	10
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	60.12024	23.3948	299707.05	6670268.712	10
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	63.85155	23.1111	308866.784	7086297.889	10
boletus_edulis	Boletus edulis	2023-08-26/2023-08-26	60.22647	24.91617	384577.006	6678455.251	29
boletus_edulis	Boletus edulis	2023-08-27/2023-08-27	63.42678	22.24612	262889.277	7041945.847	10
boletus_edulis	Boletus edulis	2023-08-29/2023-08-29	61.12421	21.54362	206277.581	6788883.137	10
boletus_edulis	Boletus edulis	2023-08-29/2023-08-29	68.11308	23.87191	369915.951	7558767.893	100
boletus_edulis	Boletus edulis	2023-08-29/2023-08-29	60.19611	24.91683	384506.852	6675073.996	25
boletus_edulis	Boletus edulis	2023-08-31/2023-08-31	60.14875	22.00154	222627.826	6678480.946	10
boletus_edulis	Boletus edulis	2023-09-01/2023-09-01	61.25583	24.57145	369728.512	6793704.583	21
boletus_edulis	Boletus edulis	2023-09-01/2023-09-01	62.75622	23.03538	297603.022	6964657.654	24
boletus_edulis	Boletus edulis	2023-09-02/2023-09-02	60.77811	23.83999	327942.986	6742215.062	10
boletus_edulis	Boletus edulis	2023-09-01/2023-09-01	60.24031	25.21575	401209.416	6679509.971	10
boletus_edulis	Boletus edulis	2023-09-02/2023-09-02	61.60632	21.44866	205743.778	6842879.596	100
boletus_edulis	Boletus edulis	2023-09-02/2023-09-02	61.6076	21.44207	205407.243	6843051.645	498
boletus_edulis	Boletus edulis	2023-09-02/2023-09-02	60.30333	21.96947	222163.331	6695798.309	27
boletus_edulis	Boletus edulis	2023-09-03/2023-09-03	64.94303	26.81067	491052.83	7202118.804	13
boletus_edulis	Boletus edulis	2023-09-03/2023-09-03	62.87786	27.61854	531461.101	6972132.0	10
boletus_edulis	Boletus edulis	2023-09-03/2023-09-03	60.27908	23.82697	324554.1	6686712.97	10
boletus_edulis	Boletus edulis	2023-09-03/2023-09-03	60.32766	24.82563	379934.665	6689882.694	100
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	63.35977	27.40327	520174.769	7025738.222	10
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	63.35998	27.4031	520166.117	7025761.567	822
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	63.36106	27.40254	520137.347	7025881.726	10
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	60.21357	23.77091	321098.967	6679573.353	22
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	61.10034	28.45798	578602.684	6774839.368	963
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	60.20994	24.67154	370965.631	6677068.021	100
boletus_edulis	Boletus edulis	2023-09-05/2023-09-05	60.296	24.56265	365287.217	6686866.153	10
boletus_edulis	Boletus edulis	2023-09-05/2023-09-05	60.40407	22.23899	237841.654	6705892.034	47
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	60.45351	22.33734	243640.886	6711001.362	208
boletus_edulis	Boletus edulis	2023-09-06/2023-09-06	61.85651	24.83631	386154.179	6860091.172	10
boletus_edulis	Boletus edulis	2023-09-01/2023-09-01	60.24034	25.2158	401212.274	6679513.237	100
boletus_edulis	Boletus edulis	2023-09-06/2023-09-06	60.24569	25.01468	390096.717	6680426.947	10
boletus_edulis	Boletus edulis	2023-09-06/2023-09-06	60.40138	22.32019	242286.377	6705272.288	10
boletus_edulis	Boletus edulis	2023-09-06/2023-09-06	60.25677	24.79072	377743.022	6682054.559	357
boletus_edulis	Boletus edulis	2023-08-14/2023-08-14	60.72272	24.7528	377416.697	6734000.537	20
boletus_edulis	Boletus edulis	2023-09-07/2023-09-07	59.96691	23.43002	300740.339	6653102.913	956
boletus_edulis	Boletus edulis	2023-09-08/2023-09-08	60.98576	24.51365	365485.84	6763754.157	10
boletus_edulis	Boletus edulis	2023-09-07/2023-09-07	61.46479	23.53217	315247.632	6819473.64	182
boletus_edulis	Boletus edulis	2023-09-07/2023-09-07	60.44686	23.2191	292038.208	6707150.795	35
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.29299	25.14699	397567.744	6685480.424	10
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.29286	25.14716	397576.733	6685465.686	10
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.03919	22.77465	264705.568	6663297.462	10
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.44751	22.25976	239332.289	6710639.106	699
boletus_edulis	Boletus edulis	2023-09-10/2023-09-10	60.17696	23.27681	293512.642	6676942.63	100
boletus_edulis	Boletus edulis	2023-09-10/2023-09-10	61.35087	23.80312	329052.476	6806056.683	30
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.37026	23.00096	279531.564	6699339.297	10
boletus_edulis	Boletus edulis	2023-09-12/2023-09-12	60.40226	22.31179	241831.302	6705403.047	490
boletus_edulis	Boletus edulis	2023-09-12/2023-09-12	62.08196	21.32295	203723.478	6896295.692	10
boletus_edulis	Boletus edulis	2023-09-12/2023-09-12	60.25867	24.80399	378484.216	6682241.57	119
boletus_edulis	Boletus edulis	2023-09-13/2023-09-13	61.45109	23.75346	326954.016	6817341.693	100
boletus_edulis	Boletus edulis	2023-07-27/2023-07-27	60.22445	24.92233	384911.05	6678219.598	20
boletus_edulis	Boletus edulis	2023-09-13/2023-09-13	60.22443	25.04505	391707.468	6678009.685	10
boletus_edulis	Boletus edulis	2023-09-14/2023-09-14	60.89462	24.88701	385352.456	6752897.126	21
boletus_edulis	Boletus edulis	2023-09-16/2023-09-16	60.19171	24.92205	384780.768	6674575.005	10
boletus_edulis	Boletus edulis	2023-09-15/2023-09-15	61.12849	21.49616	203767.081	6789572.975	100
boletus_edulis	Boletus edulis	2023-09-14/2023-09-14	60.20484	25.17542	398867.6	6675621.698	193
boletus_edulis	Boletus edulis	2023-09-16/2023-09-16	60.10938	24.7159	373035.906	6665787.205	13
boletus_edulis	Boletus edulis	2023-09-17/2023-09-17	61.12165	28.4512	578184.562	6777204.481	19
boletus_edulis	Boletus edulis	2023-08-27/2023-08-27	60.23618	22.25604	237433.584	6687158.538	10
boletus_edulis	Boletus edulis	2023-09-14/2023-09-14	60.32588	24.72824	374551.517	6689865.867	100
boletus_edulis	Boletus edulis	2023-09-17/2023-09-17	61.00626	25.57559	422978.961	6764322.089	300
boletus_edulis	Boletus edulis	2023-09-04/2023-09-04	60.23753	24.82601	379624.823	6679847.671	10
boletus_edulis	Boletus edulis	2023-09-18/2023-09-18	60.10201	24.41889	356499.531	6665574.709	23
boletus_edulis	Boletus edulis	2023-09-20/2023-09-20	62.24012	25.89376	442516.702	6901421.307	11
boletus_edulis	Boletus edulis	2023-09-21/2023-09-21	60.24094	25.14554	397324.666	6679687.294	10
boletus_edulis	Boletus edulis	2023-09-22/2023-09-22	60.53291	24.18096	345328.39	6714076.375	19
boletus_edulis	Boletus edulis	2023-09-09/2023-09-09	60.86301	23.43743	306551.766	6752784.562	10
boletus_edulis	Boletus edulis	2023-10-09/2023-10-09	60.43679	22.2492	238666.115	6709489.161	10
boletus_edulis	Boletus edulis	2023-08-01/2023-08-01	63.37752	27.43341	521669.221	7027725.786	10
boletus_edulis	Boletus edulis	2023-08-17/2023-08-17	60.73465	24.07361	340441.397	6736787.854	10
boletus_edulis	Boletus edulis	2023-09-03/2023-09-03	60.23654	24.87112	382118.446	6679656.014	20
boletus_edulis	Boletus edulis	2023-08-18/2023-08-18	65.04219	24.57191	385702.039	7215352.745	61
boletus_edulis	Boletus edulis	2023-08-07/2023-08-07	59.95097	23.01259	277352.168	6652661.065	100
boletus_edulis	Boletus edulis	2023-08-08/2023-08-08	59.94642	23.0809	281133.432	6651926.951	100
